,0
0,Arizona
1,Arkansas
2,Colorado
3,Connecticut
4,Delaware
5,Florida
6,Georgia
7,Hawaii
8,Idaho
9,Illinois
10,Indiana
11,Iowa
12,Kansas
13,Kentucky
14,Louisiana
15,Maine
16,Maryland
17,Massachusetts
18,Michigan
19,Minnesota
20,Mississippi
21,Missouri
22,Montana
23,Nebraska
24,Nevada
25,New Hampshire
26,New Jersey
27,New Mexico
28,North Carolina
29,North Dakota
30,Oklahoma
31,Oregon
32,Pennsylvania
33,Rhode Island
34,South Carolina
35,South Dakota
36,Tennessee
37,Utah
38,Vermont
39,Washington
40,West Virginia
41,Wisconsin
42,Wyoming
